icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
4b1815,SWR5KY  ,Switzerland,1764668077,1764668077,3.2014,48.8986,6553.2,False,213.45,110.75,12.03,,6537.96,1000,False,0,2025-12-02 09:34:39+00:00
4b1817,SWR7AK  ,Switzerland,1764668078,1764668078,6.9698,44.1459,8336.28,False,215.4,348.99,14.63,,8427.72,1000,False,0,2025-12-02 09:34:39+00:00
3ffc0b,DMYIS   ,Germany,1764668071,1764668071,18.1922,48.8076,1188.72,False,82.83,101.1,-2.93,,1303.02,7000,False,0,2025-12-02 09:34:39+00:00
440da5,EJU37XZ ,Austria,1764668078,1764668078,1.8669,41.0733,3383.28,False,161.22,256.72,8.78,,3459.48,,False,0,2025-12-02 09:34:39+00:00
39de51,TVF8284 ,France,1764668078,1764668078,6.0695,44.2116,11879.58,False,223.72,134.53,0.0,,11910.06,7652,False,0,2025-12-02 09:34:39+00:00
4b1809,SWR105W ,Switzerland,1764668059,1764668078,8.5554,47.456,,True,0.0,5.62,,,,2000,False,0,2025-12-02 09:34:39+00:00
4b1800,CIAO    ,Switzerland,1764668076,1764668076,8.5569,47.4559,,True,0.0,5.62,,,,2000,False,0,2025-12-02 09:34:39+00:00
4b1802,SWR8KW  ,Switzerland,1764668078,1764668078,10.1278,47.6815,7917.18,False,217.7,278.97,-11.38,,7993.38,1000,False,0,2025-12-02 09:34:39+00:00
408111,LOG902P ,United Kingdom,1764668078,1764668078,-2.2984,57.3383,1097.28,False,82.07,157.13,-2.6,,929.64,,False,0,2025-12-02 09:34:39+00:00
4952ca,TAP640  ,Portugal,1764668069,1764668069,4.494,50.9026,,True,0.0,14.06,,,,1000,False,0,2025-12-02 09:34:39+00:00
4952cc,TAP120Y ,Portugal,1764668078,1764668078,8.1431,50.3378,10668.0,False,222.2,61.06,0.0,,10668.0,1000,False,0,2025-12-02 09:34:39+00:00
4b181a,SWR2DV  ,Switzerland,1764668078,1764668078,7.7021,50.542,10668.0,False,205.08,156.65,0.0,,10668.0,1000,False,0,2025-12-02 09:34:39+00:00
4b181b,SWR5QD  ,Switzerland,1764668078,1764668078,8.2525,47.3566,3436.62,False,151.39,242.91,5.85,,3474.72,3052,False,0,2025-12-02 09:34:39+00:00
4b181c,SWR8HG  ,Switzerland,1764668078,1764668078,1.6924,51.1713,9464.04,False,233.13,102.75,11.05,,9304.02,2037,False,0,2025-12-02 09:34:39+00:00
a1d8fd,UAL5    ,United States,1764668078,1764668078,-0.3916,51.3251,2743.2,False,139.97,50.52,0.33,,2667.0,7645,False,0,2025-12-02 09:34:39+00:00
4952c1,TAP552N ,Portugal,1764668078,1764668078,1.317,48.0386,10965.18,False,258.88,47.5,0.0,,10835.64,1000,False,0,2025-12-02 09:34:39+00:00
440daf,EJU61RC ,Austria,1764668077,1764668077,-3.6581,45.383,11277.6,False,205.58,226.32,-0.33,,11079.48,2361,False,0,2025-12-02 09:34:39+00:00
4952c3,TAP1866 ,Portugal,1764667846,1764667846,-9.1464,38.7618,99.06,False,70.32,22.81,-3.58,,205.74,3766,False,0,2025-12-02 09:34:39+00:00
4952c6,TAP780  ,Portugal,1764668078,1764668078,-2.1301,46.1335,10972.8,False,251.16,37.18,0.0,,10782.3,2363,False,0,2025-12-02 09:34:39+00:00
